Categoria,Referencia_Local,Valor,Montaje,Cantidad,LCSC,Footprint_JLC,Z_Height
CAPACITOR,C_vref_adc_byp,100nF,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_vcom_adc_byp,100nF,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_bp_ap2112,10nF,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_out_ap2112,4.7uF,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_deb,100nF,THT,16,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_neo_bulk,100uF,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_dec_9v,10uF,THT,2,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_dec_5v,10uF,THT,2,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_dec_3v3,10uF,THT,2,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
CAPACITOR,C_dec_ic,100nF,THT,12,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
INDUCTOR,L1_4u7,4.7uH,THT,1,9900275692,C0201,N/A
INDUCTOR,FB_BLM18,BLM18,SMD,6,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
